Account,Token Account,Quantity,Percentage
AiYxij88KRXxWiAhNMqzxBd33wu5CSUd6KPAdoZETgfL,5MZZn4D96MkndVoBjSpuqCdnMDuv87VFV1A6kZrHLuA4,261068,36.54
6pgtAbfCwukveUfKYm22FEHP8w7NKD9Vd73NaCExLAKi,58kQw1fVjtSdKHYHBsvRenDPfDFSV8MvwesVWsE8MsZM,60150,8.42
DsNJCAtUA7xmTSpYqNx9Chhx9QEDjM1AWzBFdVsbHKar,4XUYSGRjeoYU4bTmgJVKE9KiMpuB1FTjGJ8zXTgSN7Ha,30259.661584,4.24
CbVUNS2kgnJszuWwP7ioxGLkUHGWppbcAitC5AynnDSx,4f2BJC3B3LRiapnz8xiT4YkXLvQzHbnCFxbMaSito4fh,30150,4.22
czTNJnh5ihaYfaWzSjjratZrqMcw318KAPBQHdsvVBf,HnRpBvc3gMfSrJzCer36jnobnHWTph56hFKyvKG91iYP,30075,4.21
Ai6gzjwzCL9E1rVMR9gP5gD9Y9Eds1uKj1NoC3ggJw4T,7Sxy6aovd4VEThL7P8X6ZcS9DxbH9Sy6HkMMSeisVf8b,30075,4.21
9bxQUSioYmCfqeraQ4x1UND5k2PLMmMxLDMCGxVW9Mzz,4bNa2pBXGVra7kqixKsGYkwx3MdSCuPiZpGrC7Tsc3Lf,30075,4.21
8wju6VrZpjoZC5TZTGWVJSjNMnz8qeKweZpArcu8BoX9,2CvmUYrv4CcZR2zvJhttNMLy4zNKKicwWoBRzBEveXx6,30075,4.21
3qsNsvWUJsZTk9FS3mmFv2YiUD6gPUJwpeqLQv4ahof8,2WvvG3sHfHyRBajuzCxbREedRHNGX1YxiEVohGK5GEEf,30075,4.21
3hJgnmP5gZfkV876PnvJpzCUrq9vGm9fckQNhUB6ftWV,FPzm4TruXnfGkf2t3YgC5vCPjkLxwYGvPCJXTc4UP1WC,30075,4.21
5h1sZWC93q9mWihsa2tvrsuJoqGY58655CSHkug2opRV,FMb9i4T61D6YNh8cBWvMYKVuPMV6F1ETq2ZV9GLJU51e,30075,4.21
GMuR2i1TfXKvdXJn3iBZCdXomnqVQN3NpEApnmixEndb,2Sm5kBgNey4zMnxaGBxNN8HhsoikbmgwEJu4cy9jfrS1,30075,4.21
3DHW2ZCYcKdzqBxyeVcG6TxG6foHdokvJS6Xr55VKPZq,CSXsNbG9jGk4hYwVz1W2DTXX4TX7dRZ9bfypHgxtuDfV,30075,4.21
5C7R3fhGJ37wBWEbSrw8KU8sfj8zeoctDAFDkLxcJmgv,5cKSj1EmK8tViMjKGnaKWSD2jBFK5FN6aQ8hEPf3vTor,30075,4.21
BzwiLbRnLdCtsmWy8Nj4ztmVK6QyoXUC8nLPFqeoZur5,2VgpoiGvhALCxmKcTqdh5YEAMmB7YfL2Gxdy6pdgGvDJ,24654.338416,3.45
GuU4YH1v6DdkbZwh5Qi7prDxEupGFTtUaTU7EpzRHbQU,HV2LwjQJj7PCFJGYRWVPZN14YPfEEaTKy4YanFaDJrMx,6475,0.91
FPx2Ta2emkrAE3w6jgr9uadVUeBGovnYKEGR8vnRx8jW,DWkwwBionX2MAFRaKSTUb2GytRjVXHWq1W6MnyCdoHpe,1000,0.14
